,name,studio,domestic_gross_x,foreign_gross,year,movie_id,original_title_x,start_year,runtime_minutes,genres,Unnamed: 0,genre_ids,id_x,original_language,original_title_y,popularity,release_date_x,vote_average,vote_count,id_y,release_date_y,production_budget,domestic_gross_y,worldwide_gross
33,Robin Hood,Uni.,105300000.0,216400000,2010,tt6858500,Robin Hood,2018,,,9814,"[12, 16, 10751]",114612,en,Storybook Classics - Robin Hood,0.68,2013-01-31,5.7,3,39,"May 14, 2010","$210,000,000","$105,487,148","$322,459,006"
34,Robin Hood,Uni.,105300000.0,216400000,2010,tt6858500,Robin Hood,2018,,,9814,"[12, 16, 10751]",114612,en,Storybook Classics - Robin Hood,0.68,2013-01-31,5.7,3,9,"Nov 21, 2018","$99,000,000","$30,824,628","$84,747,441"
35,Robin Hood,Uni.,105300000.0,216400000,2010,tt6858500,Robin Hood,2018,,,23822,"[12, 28, 53]",375588,en,Robin Hood,39.975,2018-11-21,5.8,1194,39,"May 14, 2010","$210,000,000","$105,487,148","$322,459,006"
36,Robin Hood,Uni.,105300000.0,216400000,2010,tt6858500,Robin Hood,2018,,,23822,"[12, 28, 53]",375588,en,Robin Hood,39.975,2018-11-21,5.8,1194,9,"Nov 21, 2018","$99,000,000","$30,824,628","$84,747,441"
37,Robin Hood,Uni.,105300000.0,216400000,2010,tt8558276,Robin Hood,2017,60.0,"Action,Adventure,History",36,"[28, 12, 18]",20662,en,Robin Hood,15.444,2010-05-14,6.3,2569,39,"May 14, 2010","$210,000,000","$105,487,148","$322,459,006"
38,Robin Hood,Uni.,105300000.0,216400000,2010,tt8558276,Robin Hood,2017,60.0,"Action,Adventure,History",36,"[28, 12, 18]",20662,en,Robin Hood,15.444,2010-05-14,6.3,2569,9,"Nov 21, 2018","$99,000,000","$30,824,628","$84,747,441"
39,Robin Hood,Uni.,105300000.0,216400000,2010,tt8558276,Robin Hood,2017,60.0,"Action,Adventure,History",9814,"[12, 16, 10751]",114612,en,Storybook Classics - Robin Hood,0.68,2013-01-31,5.7,3,39,"May 14, 2010","$210,000,000","$105,487,148","$322,459,006"
40,Robin Hood,Uni.,105300000.0,216400000,2010,tt8558276,Robin Hood,2017,60.0,"Action,Adventure,History",9814,"[12, 16, 10751]",114612,en,Storybook Classics - Robin Hood,0.68,2013-01-31,5.7,3,9,"Nov 21, 2018","$99,000,000","$30,824,628","$84,747,441"
41,Robin Hood,Uni.,105300000.0,216400000,2010,tt8558276,Robin Hood,2017,60.0,"Action,Adventure,History",23822,"[12, 28, 53]",375588,en,Robin Hood,39.975,2018-11-21,5.8,1194,39,"May 14, 2010","$210,000,000","$105,487,148","$322,459,006"
42,Robin Hood,Uni.,105300000.0,216400000,2010,tt8558276,Robin Hood,2017,60.0,"Action,Adventure,History",23822,"[12, 28, 53]",375588,en,Robin Hood,39.975,2018-11-21,5.8,1194,9,"Nov 21, 2018","$99,000,000","$30,824,628","$84,747,441"
43,The Last Airbender,Par.,131800000.0,187900000,2010,tt0938283,The Last Airbender,2010,103.0,"Action,Adventure,Family",27,"[28, 12, 10751, 14]",10196,en,The Last Airbender,16.595,2010-07-01,4.6,2143,83,"Jul 1, 2010","$150,000,000","$131,772,187","$319,713,881"
44,Little Fockers,Uni.,148400000.0,162200000,2010,tt0970866,Little Fockers,2010,98.0,"Comedy,Romance",80,"[35, 10749]",39451,en,Little Fockers,12.153,2010-12-21,5.6,1883,70,"Dec 22, 2010","$100,000,000","$148,438,600","$310,650,574"
45,Resident Evil: Afterlife,SGem,60100000.0,240100000,2010,tt1220634,Resident Evil: Afterlife,2010,96.0,"Action,Adventure,Horror",1629,"[28, 12, 27, 878]",35791,en,Resident Evil: Afterlife,0.667,2010-09-10,5.9,2119,70,"Sep 10, 2010","$57,500,000","$60,128,566","$295,874,190"
46,Shutter Island,Par.,128000000.0,166800000,2010,tt1130884,Shutter Island,2010,138.0,"Mystery,Thriller",19,"[18, 53, 9648]",11324,en,Shutter Island,18.06,2010-02-18,8.1,12625,52,"Feb 19, 2010","$80,000,000","$128,012,934","$299,461,782"
47,Salt,Sony,118300000.0,175200000,2010,tt0944835,Salt,2010,100.0,"Action,Mystery,Thriller",63,"[28, 9648, 53]",27576,en,Salt,13.025,2010-07-23,6.3,3240,50,"Jul 23, 2010","$130,000,000","$118,311,368","$290,650,494"
48,Salt,Sony,118300000.0,175200000,2010,tt0944835,Salt,2010,100.0,"Action,Mystery,Thriller",6948,"[53, 80]",56893,en,Salt,0.632,2012-08-06,1.0,1,50,"Jul 23, 2010","$130,000,000","$118,311,368","$290,650,494"
49,Sex and the City 2,WB (NL),95300000.0,193000000,2010,tt1261945,Sex and the City 2,2010,146.0,"Comedy,Drama,Romance",137,"[35, 18, 10749]",37786,en,Sex and the City 2,9.986,2010-05-27,5.9,809,16,"May 27, 2010","$95,000,000","$95,347,692","$294,680,778"
50,The Tourist,Sony,67600000.0,210700000,2010,tt1243957,The Tourist,2010,103.0,"Action,Adventure,Thriller",118,"[28, 53, 10749]",37710,en,The Tourist,10.307,2010-12-10,6.1,3133,85,"Dec 10, 2010","$100,000,000","$67,631,157","$278,731,369"
51,The Expendables,LGF,103100000.0,171400000,2010,tt1320253,The Expendables,2010,103.0,"Action,Adventure,Thriller",12,"[53, 12, 28]",27578,en,The Expendables,21.517,2010-08-03,6.1,4647,34,"Aug 13, 2010","$82,000,000","$103,068,524","$268,268,174"
52,Grown Ups,Sony,162000000.0,109400000,2010,tt1375670,Grown Ups,2010,102.0,Comedy,42,[35],38365,en,Grown Ups,14.291,2010-06-24,6.1,3171,34,"Jun 25, 2010","$75,000,000","$162,001,186","$272,223,430"
53,True Grit,Par.,171200000.0,81000000,2010,tt1403865,True Grit,2010,110.0,"Adventure,Drama,Western",59,"[18, 12, 37]",44264,en,True Grit,13.118,2010-12-22,7.2,2816,29,"Dec 22, 2010","$35,000,000","$171,243,005","$252,276,928"
54,Gulliver's Travels,Fox,42800000.0,194600000,2010,tt1320261,Gulliver's Travels,2010,85.0,"Adventure,Comedy,Family",105,"[35, 12, 10751, 14]",38745,en,Gulliver's Travels,10.768,2010-12-25,5.1,1282,13,"Dec 25, 2010","$112,000,000","$42,779,261","$232,017,848"
