title,studio,domestic_gross,foreign_gross,year,movie_id,primary_title,original_title,start_year,runtime_minutes,genres,averagerating,numvotes
lincoln,BV,182200000.0,93100000,2012,tt0443272,lincoln,lincoln,2012,150.0,"biography,drama,history",7.4,228701
dark shadows,WB,79700000.0,165800000,2012,tt1077368,dark shadows,dark shadows,2012,113.0,"comedy,fantasy,horror",6.2,229818
resident evil: retribution,SGem,42300000.0,197700000,2012,tt1855325,resident evil: retribution,resident evil: retribution,2012,95.0,"action,horror,sci-fi",5.4,125191
silver linings playbook,Wein.,132100000.0,104300000,2012,tt1045658,silver linings playbook,silver linings playbook,2012,122.0,"comedy,drama,romance",7.7,621018
american reunion,Uni.,57000000.0,178000000,2012,tt1605630,american reunion,american reunion,2012,113.0,comedy,6.7,192250
argo,WB,136000000.0,96300000,2012,tt1024648,argo,argo,2012,120.0,"biography,drama,thriller",7.7,534683
jack reacher,Par.,80100000.0,138300000,2012,tt0790724,jack reacher,jack reacher,2012,130.0,"action,crime,thriller",7.0,284547
safe house,Uni.,126400000.0,81700000,2012,tt1599348,safe house,safe house,2012,115.0,"action,adventure,crime",6.8,192655
21 jump street,Sony,138400000.0,63100000,2012,tt1232829,21 jump street,21 jump street,2012,109.0,"action,comedy,crime",7.2,477771
the vow,SGem,125000000.0,71100000,2012,tt1606389,the vow,the vow,2012,104.0,"drama,romance",6.8,173629
mirror mirror,Rela.,64900000.0,118100000,2012,tt1667353,mirror mirror,mirror mirror,2012,106.0,"adventure,comedy,drama",5.6,79510
the impossible,LG/S,19000000.0,161300000,2012,tt1649419,the impossible,lo imposible,2012,114.0,"drama,history,thriller",7.6,177762
the dictator,Par.,59700000.0,119700000,2012,tt1645170,the dictator,the dictator,2012,83.0,comedy,6.4,250976
looper,TriS,66500000.0,110000000,2012,tt1276104,looper,looper,2012,113.0,"action,crime,drama",7.4,500595
magic mike,WB,113700000.0,53500000,2012,tt1915581,magic mike,magic mike,2012,110.0,"comedy,drama",6.1,123955
flight,Par.,93800000.0,68000000,2012,tt1907668,flight,flight,2012,138.0,"drama,thriller",7.3,303009
underworld awakening,SGem,62300000.0,97800000,2012,tt1496025,underworld awakening,underworld awakening,2012,88.0,"action,fantasy,horror",6.4,138350
this means war,Fox,54800000.0,101700000,2012,tt1596350,this means war,this means war,2012,103.0,"action,comedy,romance",6.3,167438
the secret world of arrietty,BV,19200000.0,126400000,2012,tt1568921,the secret world of arrietty,kari-gurashi no arietti,2010,94.0,"adventure,animation,family",7.6,68266
paranormal activity 4,Par.,53900000.0,88900000,2012,tt2109184,paranormal activity 4,paranormal activity 4,2012,88.0,"horror,mystery,thriller",4.6,58408
step up revolution,LG/S,35100000.0,105400000,2012,tt1800741,step up revolution,step up revolution,2012,99.0,"drama,music,romance",6.5,51295
the best exotic marigold hotel,FoxS,46400000.0,90400000,2012,tt1412386,the best exotic marigold hotel,the best exotic marigold hotel,2011,124.0,"comedy,drama,romance",7.3,85811
zero dark thirty,Sony,95700000.0,37100000,2012,tt1790885,zero dark thirty,zero dark thirty,2012,157.0,"drama,thriller",7.4,251072
ghost rider: spirit of vengeance,Sony,51800000.0,80800000,2012,tt1071875,ghost rider: spirit of vengeance,ghost rider: spirit of vengeance,2011,96.0,"action,fantasy,thriller",4.3,103608
cloud atlas,WB,27100000.0,103400000,2012,tt1371111,cloud atlas,cloud atlas,2012,172.0,"action,drama,mystery",7.4,326473
the woman in black,CBS,54300000.0,73400000,2012,tt1596365,the woman in black,the woman in black,2012,95.0,"drama,fantasy,horror",6.4,165357
