movie_id,primary_title,original_title,start_year,runtime_minutes,genres,averagerating,numvotes
tt0758752,love & other drugs,love & other drugs,2010,112,"comedy,drama,romance",6.7,167680
tt0762138,syrup,syrup,2013,90,"comedy,drama,romance",5.7,10228
tt0763831,a thousand words,a thousand words,2012,91,"comedy,drama",5.9,36387
tt0765446,escape from planet earth,escape from planet earth,2013,89,"adventure,animation,comedy",5.9,23298
tt0765465,the legend of secret pass,the legend of secret pass,2019,92,"animation,family,fantasy",4.9,331
tt0768222,night of the templar,night of the templar,2013,101,"horror,mystery",5.9,5392
tt0770703,what's your number?,what's your number?,2011,106,"comedy,romance",6.1,67922
tt0770728,california indian,california indian,2011,90,drama,6.0,20
tt0770802,samsara,samsara,2011,102,"documentary,music",8.5,29725
tt0770828,man of steel,man of steel,2013,143,"action,adventure,sci-fi",7.1,647288
tt0772175,jersey justice,jersey justice,2014,100,"action,thriller",7.2,115
tt0772179,kill,kill,2011,90,"comedy,horror,thriller",4.5,95
tt0774519,the chosen heaven,el cielo elegido,2010,123,"drama,thriller",6.3,19
tt0775440,cell,cell,2016,98,"action,drama,horror",4.3,21968
tt0775461,the rain fairy,destová víla,2010,100,"family,fantasy",5.4,70
tt0775543,night catches us,night catches us,2010,90,"drama,romance",6.3,1390
tt0780548,kid cannabis,kid cannabis,2014,110,"biography,comedy,crime",6.4,8924
tt0780625,santorini blue,santorini blue,2013,90,"comedy,drama",4.6,124
tt0780653,the wolfman,the wolfman,2010,103,"drama,fantasy,horror",5.8,97873
tt0787442,the attack,the attack,2012,102,"drama,mystery,war",7.1,3733
tt0787474,the boxtrolls,the boxtrolls,2014,96,"adventure,animation,comedy",6.8,50763
tt0787524,the man who knew infinity,the man who knew infinity,2015,108,"biography,drama",7.2,43575
tt0790628,the incredible burt wonderstone,the incredible burt wonderstone,2013,100,"adventure,comedy,fantasy",5.9,67549
tt0790636,dallas buyers club,dallas buyers club,2013,117,"biography,drama",8.0,402462
tt0790653,elliot loves,elliot loves,2012,92,"comedy,romance",6.2,463
tt0790663,the first grader,the first grader,2010,103,"biography,drama,romance",7.5,4052
tt0790724,jack reacher,jack reacher,2012,130,"action,crime,thriller",7.0,284547
tt0790736,r.i.p.d.,r.i.p.d.,2013,96,"action,adventure,comedy",5.6,109078
tt0790770,miles ahead,miles ahead,2015,100,"biography,drama,music",6.4,8498
tt0790788,the yellow wallpaper,the yellow wallpaper,2012,115,thriller,6.6,1695
tt0795459,wilde salomé,wilde salomé,2011,95,"documentary,drama",6.8,748
tt0798817,13,13,2010,91,"drama,thriller",6.1,38418
tt0800092,ironmen,ironmen,2010,119,"biography,drama",4.3,6
tt0800320,clash of the titans,clash of the titans,2010,106,"action,adventure,fantasy",5.8,256176
tt0800325,the dirt,the dirt,2019,107,"biography,comedy,drama",7.0,26876
tt0800369,thor,thor,2011,115,"action,adventure,fantasy",7.0,683264
tt0803096,warcraft,warcraft,2016,123,"action,adventure,fantasy",6.9,225557
tt0804463,devil's knot,devil's knot,2013,114,"biography,crime,drama",6.1,18716
tt0804497,it's kind of a funny story,it's kind of a funny story,2010,101,"comedy,drama,romance",7.1,125583
tt0808447,the last pogo jumps again,the last pogo jumps again,2013,200,"documentary,music",9.3,42
tt0808510,tooth fairy,tooth fairy,2010,101,"comedy,family,fantasy",5.0,37939
tt0810772,belle du seigneur,belle du seigneur,2012,104,"drama,romance",5.3,1125
tt0810815,cross the line,cross the line,2010,87,action,3.9,39
tt0810819,the danish girl,the danish girl,2015,119,"biography,drama,romance",7.1,146873
tt0810856,eyes of the mothman,eyes of the mothman,2011,150,documentary,6.3,293
tt0810913,jack and jill,jack and jill,2011,91,comedy,3.3,71361
tt0810922,take me home tonight,take me home tonight,2011,97,"comedy,drama,romance",6.3,48393
tt0811069,lavoe,the king hector lavoe,2011,90,"drama,music",7.4,65
tt0813992,american flyer,american flyer,2010,100,adventure,6.4,85
tt0814255,percy jackson & the olympians: the lightning thief,percy jackson & the olympians: the lightning thief,2010,118,"adventure,family,fantasy",5.9,165108
tt0815236,she's out of my league,she's out of my league,2010,104,"comedy,romance",6.4,117245
tt0816362,card subject to change,card subject to change,2010,87,documentary,6.7,223
tt0816442,the book thief,the book thief,2013,131,"drama,war",7.6,119023
tt0816462,conan the barbarian,conan the barbarian,2011,113,"action,adventure,fantasy",5.2,90834
tt0816648,shanghai hotel,shanghai hotel,2011,110,drama,6.3,36
tt0816692,interstellar,interstellar,2014,169,"adventure,drama,sci-fi",8.6,1299334
