,primary_title,runtime_minutes,genres,averagerating,original_language,original_title,popularity,vote_average,release_date,production_budget,worldwide_gross,studio,domestic_gross,foreign_gross
547,Letters to God,110.0,Family,6.3,en,Letters to God,4.242,6.9,2010-04-09,3000000.0,3237452.0,Viv.,2800000.0,60300.0
548,Buried,95.0,Drama,7.0,en,Buried,10.888,6.6,2010-09-24,1987650.0,21270290.0,LGF,1000000.0,18100000.0
548,Buried,95.0,Mystery,7.0,en,Buried,10.888,6.6,2010-09-24,1987650.0,21270290.0,LGF,1000000.0,18100000.0
548,Buried,95.0,Thriller,7.0,en,Buried,10.888,6.6,2010-09-24,1987650.0,21270290.0,LGF,1000000.0,18100000.0
549,Buried,95.0,Thriller,6.0,en,Buried,10.888,6.6,2010-09-24,1987650.0,21270290.0,LGF,1000000.0,18100000.0
550,The Odd Life of Timothy Green,105.0,Comedy,6.6,en,The Odd Life of Timothy Green,9.216,6.7,2012-08-15,40000000.0,55249159.0,BV,51900000.0,4200000.0
550,The Odd Life of Timothy Green,105.0,Drama,6.6,en,The Odd Life of Timothy Green,9.216,6.7,2012-08-15,40000000.0,55249159.0,BV,51900000.0,4200000.0
550,The Odd Life of Timothy Green,105.0,Family,6.6,en,The Odd Life of Timothy Green,9.216,6.7,2012-08-15,40000000.0,55249159.0,BV,51900000.0,4200000.0
551,"Big Mommas: Like Father, Like Son",107.0,Action,4.4,en,"Big Mommas: Like Father, Like Son",16.024,5.5,2011-02-18,32000000.0,82332450.0,Fox,37900000.0,44800000.0
551,"Big Mommas: Like Father, Like Son",107.0,Comedy,4.4,en,"Big Mommas: Like Father, Like Son",16.024,5.5,2011-02-18,32000000.0,82332450.0,Fox,37900000.0,44800000.0
551,"Big Mommas: Like Father, Like Son",107.0,Crime,4.4,en,"Big Mommas: Like Father, Like Son",16.024,5.5,2011-02-18,32000000.0,82332450.0,Fox,37900000.0,44800000.0
552,Stake Land,98.0,Drama,6.5,en,Stake Land,8.799,6.2,2011-04-22,4000000.0,679482.0,IFC,33200.0,
552,Stake Land,98.0,Horror,6.5,en,Stake Land,8.799,6.2,2011-04-22,4000000.0,679482.0,IFC,33200.0,
552,Stake Land,98.0,Sci-Fi,6.5,en,Stake Land,8.799,6.2,2011-04-22,4000000.0,679482.0,IFC,33200.0,
553,Joy,75.0,Drama,6.1,en,Joy,10.305,6.5,2015-12-25,60000000.0,101134059.0,Fox,56500000.0,44700000.0
554,Joy,124.0,Drama,6.6,en,Joy,10.305,6.5,2015-12-25,60000000.0,101134059.0,Fox,56500000.0,44700000.0
555,Joy,80.0,,5.8,en,Joy,10.305,6.5,2015-12-25,60000000.0,101134059.0,Fox,56500000.0,44700000.0
556,Joy,80.0,Drama,7.1,en,Joy,10.305,6.5,2015-12-25,60000000.0,101134059.0,Fox,56500000.0,44700000.0
557,Joy,99.0,Drama,6.5,en,Joy,10.305,6.5,2015-12-25,60000000.0,101134059.0,Fox,56500000.0,44700000.0
558,Baywatch,116.0,Action,5.6,en,Baywatch,14.429,6.1,2017-05-25,60000000.0,175863783.0,Par.,58100000.0,119800000.0
558,Baywatch,116.0,Comedy,5.6,en,Baywatch,14.429,6.1,2017-05-25,60000000.0,175863783.0,Par.,58100000.0,119800000.0
558,Baywatch,116.0,Crime,5.6,en,Baywatch,14.429,6.1,2017-05-25,60000000.0,175863783.0,Par.,58100000.0,119800000.0
559,MacGruber,90.0,Action,5.5,en,MacGruber,7.666,5.3,2010-05-21,10000000.0,8629895.0,Uni.,8500000.0,797000.0
559,MacGruber,90.0,Comedy,5.5,en,MacGruber,7.666,5.3,2010-05-21,10000000.0,8629895.0,Uni.,8500000.0,797000.0
559,MacGruber,90.0,Romance,5.5,en,MacGruber,7.666,5.3,2010-05-21,10000000.0,8629895.0,Uni.,8500000.0,797000.0
560,Monsters,94.0,Drama,6.4,en,Monsters,10.175,6.2,2010-10-29,500000.0,5639730.0,Magn.,237000.0,4000000.0
560,Monsters,94.0,Sci-Fi,6.4,en,Monsters,10.175,6.2,2010-10-29,500000.0,5639730.0,Magn.,237000.0,4000000.0
560,Monsters,94.0,Thriller,6.4,en,Monsters,10.175,6.2,2010-10-29,500000.0,5639730.0,Magn.,237000.0,4000000.0
561,Monsters,94.0,Drama,6.4,en,Monsters,1.122,7.4,2010-10-29,500000.0,5639730.0,Magn.,237000.0,4000000.0
561,Monsters,94.0,Sci-Fi,6.4,en,Monsters,1.122,7.4,2010-10-29,500000.0,5639730.0,Magn.,237000.0,4000000.0
561,Monsters,94.0,Thriller,6.4,en,Monsters,1.122,7.4,2010-10-29,500000.0,5639730.0,Magn.,237000.0,4000000.0
562,Monsters,87.0,Horror,4.0,en,Monsters,10.175,6.2,2010-10-29,500000.0,5639730.0,Magn.,237000.0,4000000.0
563,Monsters,87.0,Horror,4.0,en,Monsters,1.122,7.4,2010-10-29,500000.0,5639730.0,Magn.,237000.0,4000000.0
564,Max Steel,92.0,Action,4.6,en,Max Steel,8.88,5.2,2016-10-14,10000000.0,4563080.0,ORF,3800000.0,2500000.0
564,Max Steel,92.0,Adventure,4.6,en,Max Steel,8.88,5.2,2016-10-14,10000000.0,4563080.0,ORF,3800000.0,2500000.0
564,Max Steel,92.0,Family,4.6,en,Max Steel,8.88,5.2,2016-10-14,10000000.0,4563080.0,ORF,3800000.0,2500000.0
566,Aquaman,143.0,Action,7.1,en,Aquaman,38.102,6.8,2018-12-21,160000000.0,1146894640.0,WB,335100000.0,812700000.0
566,Aquaman,143.0,Adventure,7.1,en,Aquaman,38.102,6.8,2018-12-21,160000000.0,1146894640.0,WB,335100000.0,812700000.0
566,Aquaman,143.0,Fantasy,7.1,en,Aquaman,38.102,6.8,2018-12-21,160000000.0,1146894640.0,WB,335100000.0,812700000.0
567,Cedar Rapids,87.0,Comedy,6.3,en,Cedar Rapids,7.694,6.0,2011-02-11,10000000.0,7862131.0,FoxS,6900000.0,
568,Bridesmaids,125.0,Comedy,6.8,en,Bridesmaids,9.805,6.5,2011-05-13,32500000.0,289632023.0,Uni.,169100000.0,119300000.0
568,Bridesmaids,125.0,Romance,6.8,en,Bridesmaids,9.805,6.5,2011-05-13,32500000.0,289632023.0,Uni.,169100000.0,119300000.0
569,Attack the Block,88.0,Action,6.7,en,Attack the Block,9.612,6.4,2011-07-29,13000000.0,6459183.0,SGem,1000000.0,4800000.0
