,primary_title,runtime_minutes,genres,averagerating,original_language,original_title,popularity,vote_average,release_date,production_budget,worldwide_gross,studio,domestic_gross,foreign_gross
0,On the Road,124.0,Adventure,6.1,en,On the Road,8.919,5.6,2013-03-22,25000000.0,9313302.0,IFC,744000.0,8000000.0
0,On the Road,124.0,Drama,6.1,en,On the Road,8.919,5.6,2013-03-22,25000000.0,9313302.0,IFC,744000.0,8000000.0
0,On the Road,124.0,Romance,6.1,en,On the Road,8.919,5.6,2013-03-22,25000000.0,9313302.0,IFC,744000.0,8000000.0
1,On the Road,89.0,Drama,6.0,en,On the Road,8.919,5.6,2013-03-22,25000000.0,9313302.0,IFC,744000.0,8000000.0
2,On the Road,121.0,Drama,5.7,en,On the Road,8.919,5.6,2013-03-22,25000000.0,9313302.0,IFC,744000.0,8000000.0
3,The Secret Life of Walter Mitty,114.0,Adventure,7.3,en,The Secret Life of Walter Mitty,10.743,7.1,2013-12-25,91000000.0,187861183.0,Fox,58200000.0,129900000.0
3,The Secret Life of Walter Mitty,114.0,Comedy,7.3,en,The Secret Life of Walter Mitty,10.743,7.1,2013-12-25,91000000.0,187861183.0,Fox,58200000.0,129900000.0
3,The Secret Life of Walter Mitty,114.0,Drama,7.3,en,The Secret Life of Walter Mitty,10.743,7.1,2013-12-25,91000000.0,187861183.0,Fox,58200000.0,129900000.0
4,A Walk Among the Tombstones,114.0,Action,6.5,en,A Walk Among the Tombstones,19.373,6.3,2014-09-19,28000000.0,62108587.0,Uni.,26300000.0,26900000.0
4,A Walk Among the Tombstones,114.0,Crime,6.5,en,A Walk Among the Tombstones,19.373,6.3,2014-09-19,28000000.0,62108587.0,Uni.,26300000.0,26900000.0
4,A Walk Among the Tombstones,114.0,Drama,6.5,en,A Walk Among the Tombstones,19.373,6.3,2014-09-19,28000000.0,62108587.0,Uni.,26300000.0,26900000.0
5,Jurassic World,124.0,Action,7.0,en,Jurassic World,20.709,6.6,2015-06-12,215000000.0,1648854864.0,Uni.,652300000.0,1019.4
5,Jurassic World,124.0,Adventure,7.0,en,Jurassic World,20.709,6.6,2015-06-12,215000000.0,1648854864.0,Uni.,652300000.0,1019.4
5,Jurassic World,124.0,Sci-Fi,7.0,en,Jurassic World,20.709,6.6,2015-06-12,215000000.0,1648854864.0,Uni.,652300000.0,1019.4
6,The Rum Diary,119.0,Comedy,6.2,en,The Rum Diary,12.011,5.7,2011-10-28,45000000.0,21544732.0,FD,13100000.0,10800000.0
6,The Rum Diary,119.0,Drama,6.2,en,The Rum Diary,12.011,5.7,2011-10-28,45000000.0,21544732.0,FD,13100000.0,10800000.0
7,The Three Stooges,92.0,Comedy,5.1,en,The Three Stooges,9.358,5.1,2012-04-13,30000000.0,54052249.0,Fox,44300000.0,10500000.0
7,The Three Stooges,92.0,Family,5.1,en,The Three Stooges,9.358,5.1,2012-04-13,30000000.0,54052249.0,Fox,44300000.0,10500000.0
8,Tangled,100.0,Adventure,7.8,en,Tangled,21.511,7.5,2010-11-24,260000000.0,586477240.0,BV,200800000.0,391000000.0
8,Tangled,100.0,Animation,7.8,en,Tangled,21.511,7.5,2010-11-24,260000000.0,586477240.0,BV,200800000.0,391000000.0
8,Tangled,100.0,Comedy,7.8,en,Tangled,21.511,7.5,2010-11-24,260000000.0,586477240.0,BV,200800000.0,391000000.0
9,John Carter,132.0,Action,6.6,en,John Carter,18.549,6.1,2012-03-09,275000000.0,282778100.0,BV,73100000.0,211100000.0
9,John Carter,132.0,Adventure,6.6,en,John Carter,18.549,6.1,2012-03-09,275000000.0,282778100.0,BV,73100000.0,211100000.0
9,John Carter,132.0,Sci-Fi,6.6,en,John Carter,18.549,6.1,2012-03-09,275000000.0,282778100.0,BV,73100000.0,211100000.0
10,Dinner for Schmucks,114.0,Comedy,5.9,en,Dinner for Schmucks,6.6320000000000014,5.6,2010-07-30,69000000.0,86796502.0,P/DW,73000000.0,13800000.0
11,The A-Team,117.0,Action,6.8,en,The A-Team,17.097,6.3,2010-06-11,110000000.0,177241171.0,Fox,77200000.0,100000000.0
11,The A-Team,117.0,Adventure,6.8,en,The A-Team,17.097,6.3,2010-06-11,110000000.0,177241171.0,Fox,77200000.0,100000000.0
11,The A-Team,117.0,Thriller,6.8,en,The A-Team,17.097,6.3,2010-06-11,110000000.0,177241171.0,Fox,77200000.0,100000000.0
12,The Possession,92.0,Horror,5.9,en,The Possession,8.978,5.9,2012-08-31,14000000.0,82925064.0,LGF,49100000.0,36300000.0
12,The Possession,92.0,Mystery,5.9,en,The Possession,8.978,5.9,2012-08-31,14000000.0,82925064.0,LGF,49100000.0,36300000.0
12,The Possession,92.0,Thriller,5.9,en,The Possession,8.978,5.9,2012-08-31,14000000.0,82925064.0,LGF,49100000.0,36300000.0
13,Real Steel,127.0,Action,7.1,en,Real Steel,14.811,6.8,2011-10-07,110000000.0,263880341.0,BV,85500000.0,213800000.0
13,Real Steel,127.0,Drama,7.1,en,Real Steel,14.811,6.8,2011-10-07,110000000.0,263880341.0,BV,85500000.0,213800000.0
13,Real Steel,127.0,Family,7.1,en,Real Steel,14.811,6.8,2011-10-07,110000000.0,263880341.0,BV,85500000.0,213800000.0
14,The Giver,97.0,Drama,6.5,en,The Giver,8.687000000000001,6.5,2014-08-15,25000000.0,66540205.0,Wein.,45100000.0,21900000.0
14,The Giver,97.0,Romance,6.5,en,The Giver,8.687000000000001,6.5,2014-08-15,25000000.0,66540205.0,Wein.,45100000.0,21900000.0
14,The Giver,97.0,Sci-Fi,6.5,en,The Giver,8.687000000000001,6.5,2014-08-15,25000000.0,66540205.0,Wein.,45100000.0,21900000.0
15,Toy Story 3,103.0,Adventure,8.3,en,Toy Story 3,24.445,7.7,2010-06-18,200000000.0,1068879522.0,BV,415000000.0,652000000.0
15,Toy Story 3,103.0,Animation,8.3,en,Toy Story 3,24.445,7.7,2010-06-18,200000000.0,1068879522.0,BV,415000000.0,652000000.0
15,Toy Story 3,103.0,Comedy,8.3,en,Toy Story 3,24.445,7.7,2010-06-18,200000000.0,1068879522.0,BV,415000000.0,652000000.0
16,Lincoln,150.0,Biography,7.4,en,Lincoln,12.693,6.8,2012-11-09,65000000.0,273346281.0,BV,182200000.0,93100000.0
16,Lincoln,150.0,Drama,7.4,en,Lincoln,12.693,6.8,2012-11-09,65000000.0,273346281.0,BV,182200000.0,93100000.0
16,Lincoln,150.0,History,7.4,en,Lincoln,12.693,6.8,2012-11-09,65000000.0,273346281.0,BV,182200000.0,93100000.0
17,Before We Go,95.0,Comedy,6.8,en,Before We Go,8.232999999999999,6.5,2015-09-04,3000000.0,483938.0,RTWC,37200.0,
17,Before We Go,95.0,Drama,6.8,en,Before We Go,8.232999999999999,6.5,2015-09-04,3000000.0,483938.0,RTWC,37200.0,
17,Before We Go,95.0,Romance,6.8,en,Before We Go,8.232999999999999,6.5,2015-09-04,3000000.0,483938.0,RTWC,37200.0,
18,Before We Go,84.0,Documentary,7.0,en,Before We Go,8.232999999999999,6.5,2015-09-04,3000000.0,483938.0,RTWC,37200.0,
18,Before We Go,84.0,Drama,7.0,en,Before We Go,8.232999999999999,6.5,2015-09-04,3000000.0,483938.0,RTWC,37200.0,
18,Before We Go,84.0,News,7.0,en,Before We Go,8.232999999999999,6.5,2015-09-04,3000000.0,483938.0,RTWC,37200.0,
19,Puss in Boots,90.0,Action,6.6,en,Puss in Boots,9.078,6.3,2011-10-28,130000000.0,554987477.0,P/DW,149300000.0,405700000.0
19,Puss in Boots,90.0,Adventure,6.6,en,Puss in Boots,9.078,6.3,2011-10-28,130000000.0,554987477.0,P/DW,149300000.0,405700000.0
19,Puss in Boots,90.0,Animation,6.6,en,Puss in Boots,9.078,6.3,2011-10-28,130000000.0,554987477.0,P/DW,149300000.0,405700000.0
20,Wonder Woman,141.0,Action,7.5,en,Wonder Woman,2.841,5.9,2017-06-02,150000000.0,821133378.0,WB,412600000.0,409300000.0
20,Wonder Woman,141.0,Adventure,7.5,en,Wonder Woman,2.841,5.9,2017-06-02,150000000.0,821133378.0,WB,412600000.0,409300000.0
20,Wonder Woman,141.0,Fantasy,7.5,en,Wonder Woman,2.841,5.9,2017-06-02,150000000.0,821133378.0,WB,412600000.0,409300000.0
21,Wonder Woman,141.0,Action,7.5,en,Wonder Woman,31.618,7.3,2017-06-02,150000000.0,821133378.0,WB,412600000.0,409300000.0
21,Wonder Woman,141.0,Adventure,7.5,en,Wonder Woman,31.618,7.3,2017-06-02,150000000.0,821133378.0,WB,412600000.0,409300000.0
21,Wonder Woman,141.0,Fantasy,7.5,en,Wonder Woman,31.618,7.3,2017-06-02,150000000.0,821133378.0,WB,412600000.0,409300000.0
22,Wonder Woman,60.0,Sci-Fi,4.2,en,Wonder Woman,2.841,5.9,2017-06-02,150000000.0,821133378.0,WB,412600000.0,409300000.0
23,Wonder Woman,60.0,Sci-Fi,4.2,en,Wonder Woman,31.618,7.3,2017-06-02,150000000.0,821133378.0,WB,412600000.0,409300000.0
24,Wonder Woman,75.0,Documentary,6.9,en,Wonder Woman,2.841,5.9,2017-06-02,150000000.0,821133378.0,WB,412600000.0,409300000.0
24,Wonder Woman,75.0,Drama,6.9,en,Wonder Woman,2.841,5.9,2017-06-02,150000000.0,821133378.0,WB,412600000.0,409300000.0
24,Wonder Woman,75.0,Sport,6.9,en,Wonder Woman,2.841,5.9,2017-06-02,150000000.0,821133378.0,WB,412600000.0,409300000.0
25,Wonder Woman,75.0,Documentary,6.9,en,Wonder Woman,31.618,7.3,2017-06-02,150000000.0,821133378.0,WB,412600000.0,409300000.0
25,Wonder Woman,75.0,Drama,6.9,en,Wonder Woman,31.618,7.3,2017-06-02,150000000.0,821133378.0,WB,412600000.0,409300000.0
25,Wonder Woman,75.0,Sport,6.9,en,Wonder Woman,31.618,7.3,2017-06-02,150000000.0,821133378.0,WB,412600000.0,409300000.0
26,Life of Pi,127.0,Adventure,7.9,en,Life of Pi,15.0,7.3,2012-11-21,120000000.0,620912003.0,Fox,125000000.0,484000000.0
26,Life of Pi,127.0,Drama,7.9,en,Life of Pi,15.0,7.3,2012-11-21,120000000.0,620912003.0,Fox,125000000.0,484000000.0
26,Life of Pi,127.0,Fantasy,7.9,en,Life of Pi,15.0,7.3,2012-11-21,120000000.0,620912003.0,Fox,125000000.0,484000000.0
27,The Crazies,101.0,Horror,6.5,en,The Crazies,12.246,6.2,2010-02-26,19000000.0,56445534.0,Over.,39100000.0,15700000.0
27,The Crazies,101.0,Thriller,6.5,en,The Crazies,12.246,6.2,2010-02-26,19000000.0,56445534.0,Over.,39100000.0,15700000.0
28,The Equalizer,132.0,Action,7.2,en,The Equalizer,28.942,7.2,2014-09-26,55000000.0,192903624.0,Sony,101500000.0,90800000.0
28,The Equalizer,132.0,Crime,7.2,en,The Equalizer,28.942,7.2,2014-09-26,55000000.0,192903624.0,Sony,101500000.0,90800000.0
28,The Equalizer,132.0,Thriller,7.2,en,The Equalizer,28.942,7.2,2014-09-26,55000000.0,192903624.0,Sony,101500000.0,90800000.0
29,Captain America: The First Avenger,124.0,Action,6.9,en,Captain America: The First Avenger,25.808000000000003,6.9,2011-07-22,140000000.0,370569776.0,Par.,176700000.0,193900000.0
29,Captain America: The First Avenger,124.0,Adventure,6.9,en,Captain America: The First Avenger,25.808000000000003,6.9,2011-07-22,140000000.0,370569776.0,Par.,176700000.0,193900000.0
29,Captain America: The First Avenger,124.0,Sci-Fi,6.9,en,Captain America: The First Avenger,25.808000000000003,6.9,2011-07-22,140000000.0,370569776.0,Par.,176700000.0,193900000.0
30,Piranha 3D,88.0,Comedy,5.4,en,Piranha 3D,11.302,5.3,2010-08-20,24000000.0,83660160.0,W/Dim.,25000000.0,58200000.0
30,Piranha 3D,88.0,Horror,5.4,en,Piranha 3D,11.302,5.3,2010-08-20,24000000.0,83660160.0,W/Dim.,25000000.0,58200000.0
31,Margaret,150.0,Drama,6.5,en,Margaret,8.747,6.3,2011-09-30,14000000.0,623292.0,FoxS,46500.0,
32,Ex Machina,108.0,Drama,7.7,en,Ex Machina,18.485,7.6,2015-04-10,13000000.0,38358392.0,A24,25400000.0,11400000.0
32,Ex Machina,108.0,Mystery,7.7,en,Ex Machina,18.485,7.6,2015-04-10,13000000.0,38358392.0,A24,25400000.0,11400000.0
32,Ex Machina,108.0,Sci-Fi,7.7,en,Ex Machina,18.485,7.6,2015-04-10,13000000.0,38358392.0,A24,25400000.0,11400000.0
33,Tower Heist,104.0,Action,6.2,en,Tower Heist,12.213,6.0,2011-11-04,85000000.0,150422946.0,Uni.,78000000.0,74900000.0
33,Tower Heist,104.0,Comedy,6.2,en,Tower Heist,12.213,6.0,2011-11-04,85000000.0,150422946.0,Uni.,78000000.0,74900000.0
33,Tower Heist,104.0,Crime,6.2,en,Tower Heist,12.213,6.0,2011-11-04,85000000.0,150422946.0,Uni.,78000000.0,74900000.0
34,The Smurfs,103.0,Adventure,5.5,en,The Smurfs,16.533,5.6,2011-07-29,110000000.0,563749323.0,Sony,142600000.0,421100000.0
34,The Smurfs,103.0,Animation,5.5,en,The Smurfs,16.533,5.6,2011-07-29,110000000.0,563749323.0,Sony,142600000.0,421100000.0
34,The Smurfs,103.0,Comedy,5.5,en,The Smurfs,16.533,5.6,2011-07-29,110000000.0,563749323.0,Sony,142600000.0,421100000.0
35,The Mechanic,93.0,Action,6.6,en,The Mechanic,14.387,6.3,2011-01-28,42500000.0,76347393.0,CBS,29100000.0,47000000.0
35,The Mechanic,93.0,Crime,6.6,en,The Mechanic,14.387,6.3,2011-01-28,42500000.0,76347393.0,CBS,29100000.0,47000000.0
35,The Mechanic,93.0,Thriller,6.6,en,The Mechanic,14.387,6.3,2011-01-28,42500000.0,76347393.0,CBS,29100000.0,47000000.0
36,"Hail, Caesar!",106.0,Comedy,6.3,en,"Hail, Caesar!",12.312,5.9,2016-02-05,22000000.0,64160680.0,Uni.,30500000.0,33100000.0
36,"Hail, Caesar!",106.0,Drama,6.3,en,"Hail, Caesar!",12.312,5.9,2016-02-05,22000000.0,64160680.0,Uni.,30500000.0,33100000.0
36,"Hail, Caesar!",106.0,Music,6.3,en,"Hail, Caesar!",12.312,5.9,2016-02-05,22000000.0,64160680.0,Uni.,30500000.0,33100000.0
37,Unstoppable,98.0,Action,6.8,en,Unstoppable,14.01,6.4,2010-11-12,95000000.0,165720921.0,Fox,81600000.0,86200000.0
37,Unstoppable,98.0,Thriller,6.8,en,Unstoppable,14.01,6.4,2010-11-12,95000000.0,165720921.0,Fox,81600000.0,86200000.0
38,Unstoppable,98.0,Action,6.8,en,Unstoppable,0.6,1.6,2010-11-12,95000000.0,165720921.0,Fox,81600000.0,86200000.0
38,Unstoppable,98.0,Thriller,6.8,en,Unstoppable,0.6,1.6,2010-11-12,95000000.0,165720921.0,Fox,81600000.0,86200000.0
39,Unstoppable,65.0,Documentary,4.3,en,Unstoppable,14.01,6.4,2010-11-12,95000000.0,165720921.0,Fox,81600000.0,86200000.0
40,Unstoppable,65.0,Documentary,4.3,en,Unstoppable,0.6,1.6,2010-11-12,95000000.0,165720921.0,Fox,81600000.0,86200000.0
41,Unstoppable,116.0,Action,6.5,en,Unstoppable,14.01,6.4,2010-11-12,95000000.0,165720921.0,Fox,81600000.0,86200000.0
41,Unstoppable,116.0,Crime,6.5,en,Unstoppable,14.01,6.4,2010-11-12,95000000.0,165720921.0,Fox,81600000.0,86200000.0
42,Unstoppable,116.0,Action,6.5,en,Unstoppable,0.6,1.6,2010-11-12,95000000.0,165720921.0,Fox,81600000.0,86200000.0
42,Unstoppable,116.0,Crime,6.5,en,Unstoppable,0.6,1.6,2010-11-12,95000000.0,165720921.0,Fox,81600000.0,86200000.0
43,Unstoppable,84.0,Documentary,8.1,en,Unstoppable,14.01,6.4,2010-11-12,95000000.0,165720921.0,Fox,81600000.0,86200000.0
44,Unstoppable,84.0,Documentary,8.1,en,Unstoppable,0.6,1.6,2010-11-12,95000000.0,165720921.0,Fox,81600000.0,86200000.0
45,The Tree of Life,139.0,Drama,6.8,en,The Tree of Life,11.569,6.6,2011-05-27,35000000.0,61721826.0,FoxS,13300000.0,41000000.0
45,The Tree of Life,139.0,Fantasy,6.8,en,The Tree of Life,11.569,6.6,2011-05-27,35000000.0,61721826.0,FoxS,13300000.0,41000000.0
46,Ant-Man,117.0,Action,7.3,en,Ant-Man,32.715,7.1,2015-07-17,130000000.0,518858449.0,BV,180200000.0,339100000.0
46,Ant-Man,117.0,Adventure,7.3,en,Ant-Man,32.715,7.1,2015-07-17,130000000.0,518858449.0,BV,180200000.0,339100000.0
46,Ant-Man,117.0,Comedy,7.3,en,Ant-Man,32.715,7.1,2015-07-17,130000000.0,518858449.0,BV,180200000.0,339100000.0
47,Season of the Witch,95.0,Action,5.4,en,Season of the Witch,12.535,5.3,2011-01-07,40000000.0,91126600.0,Rela.,24800000.0,66800000.0
47,Season of the Witch,95.0,Adventure,5.4,en,Season of the Witch,12.535,5.3,2011-01-07,40000000.0,91126600.0,Rela.,24800000.0,66800000.0
47,Season of the Witch,95.0,Fantasy,5.4,en,Season of the Witch,12.535,5.3,2011-01-07,40000000.0,91126600.0,Rela.,24800000.0,66800000.0
48,The Losers,97.0,Action,6.4,en,The Losers,10.202,6.2,2010-04-23,25000000.0,29863840.0,WB,23600000.0,5800000.0
48,The Losers,97.0,Adventure,6.4,en,The Losers,10.202,6.2,2010-04-23,25000000.0,29863840.0,WB,23600000.0,5800000.0
48,The Losers,97.0,Crime,6.4,en,The Losers,10.202,6.2,2010-04-23,25000000.0,29863840.0,WB,23600000.0,5800000.0
49,The Losers,112.0,Drama,1.7,en,The Losers,10.202,6.2,2010-04-23,25000000.0,29863840.0,WB,23600000.0,5800000.0
50,Hall Pass,105.0,Comedy,5.9,en,Hall Pass,9.984,5.5,2011-02-25,68000000.0,87173475.0,WB (NL),45100000.0,38100000.0
50,Hall Pass,105.0,Romance,5.9,en,Hall Pass,9.984,5.5,2011-02-25,68000000.0,87173475.0,WB (NL),45100000.0,38100000.0
51,The Croods,98.0,Action,7.2,en,The Croods,16.29,6.8,2013-03-22,135000000.0,573068425.0,Fox,187200000.0,400000000.0
51,The Croods,98.0,Adventure,7.2,en,The Croods,16.29,6.8,2013-03-22,135000000.0,573068425.0,Fox,187200000.0,400000000.0
51,The Croods,98.0,Animation,7.2,en,The Croods,16.29,6.8,2013-03-22,135000000.0,573068425.0,Fox,187200000.0,400000000.0
52,Red Tails,125.0,Action,5.9,en,Red Tails,10.247,6.0,2012-01-20,58000000.0,50365498.0,Fox,49900000.0,489000.0
52,Red Tails,125.0,Adventure,5.9,en,Red Tails,10.247,6.0,2012-01-20,58000000.0,50365498.0,Fox,49900000.0,489000.0
52,Red Tails,125.0,Drama,5.9,en,Red Tails,10.247,6.0,2012-01-20,58000000.0,50365498.0,Fox,49900000.0,489000.0
53,Something Borrowed,112.0,Comedy,5.9,en,Something Borrowed,7.567,6.1,2011-05-06,35000000.0,65084116.0,WB,39000000.0,21100000.0
53,Something Borrowed,112.0,Drama,5.9,en,Something Borrowed,7.567,6.1,2011-05-06,35000000.0,65084116.0,WB,39000000.0,21100000.0
53,Something Borrowed,112.0,Romance,5.9,en,Something Borrowed,7.567,6.1,2011-05-06,35000000.0,65084116.0,WB,39000000.0,21100000.0
54,Tulip Fever,105.0,Drama,6.2,en,Tulip Fever,9.89,6.4,2017-09-01,25000000.0,6792768.0,Wein.,2500000.0,5900000.0
54,Tulip Fever,105.0,History,6.2,en,Tulip Fever,9.89,6.4,2017-09-01,25000000.0,6792768.0,Wein.,2500000.0,5900000.0
54,Tulip Fever,105.0,Romance,6.2,en,Tulip Fever,9.89,6.4,2017-09-01,25000000.0,6792768.0,Wein.,2500000.0,5900000.0
55,Furry Vengeance,92.0,Comedy,3.8,en,Furry Vengeance,9.45,4.6,2010-04-30,35000000.0,39340177.0,Sum.,17600000.0,18600000.0
55,Furry Vengeance,92.0,Family,3.8,en,Furry Vengeance,9.45,4.6,2010-04-30,35000000.0,39340177.0,Sum.,17600000.0,18600000.0
56,Ramona and Beezus,103.0,Adventure,6.6,en,Ramona and Beezus,7.442,6.3,2010-07-23,15000000.0,27469621.0,Fox,26200000.0,1100000.0
56,Ramona and Beezus,103.0,Comedy,6.6,en,Ramona and Beezus,7.442,6.3,2010-07-23,15000000.0,27469621.0,Fox,26200000.0,1100000.0
56,Ramona and Beezus,103.0,Family,6.6,en,Ramona and Beezus,7.442,6.3,2010-07-23,15000000.0,27469621.0,Fox,26200000.0,1100000.0
57,Rings,102.0,Drama,4.5,en,Rings,13.53,4.9,2017-02-03,25000000.0,82917283.0,Par.,27800000.0,55300000.0
57,Rings,102.0,Horror,4.5,en,Rings,13.53,4.9,2017-02-03,25000000.0,82917283.0,Par.,27800000.0,55300000.0
57,Rings,102.0,Mystery,4.5,en,Rings,13.53,4.9,2017-02-03,25000000.0,82917283.0,Par.,27800000.0,55300000.0
58,A Thousand Words,91.0,Comedy,5.9,en,A Thousand Words,8.017000000000001,6.1,2012-03-09,40000000.0,20790486.0,P/DW,18500000.0,3600000.0
58,A Thousand Words,91.0,Drama,5.9,en,A Thousand Words,8.017000000000001,6.1,2012-03-09,40000000.0,20790486.0,P/DW,18500000.0,3600000.0
59,What's Your Number?,106.0,Comedy,6.1,en,What's Your Number?,10.390999999999998,6.4,2011-09-30,20000000.0,30163785.0,Fox,14000000.0,16399999.0
59,What's Your Number?,106.0,Romance,6.1,en,What's Your Number?,10.390999999999998,6.4,2011-09-30,20000000.0,30163785.0,Fox,14000000.0,16399999.0
60,Samsara,102.0,Documentary,8.5,en,Samsara,6.015,8.2,2012-08-24,4000000.0,5966671.0,Osci.,2700000.0,
60,Samsara,102.0,Music,8.5,en,Samsara,6.015,8.2,2012-08-24,4000000.0,5966671.0,Osci.,2700000.0,
61,Man of Steel,143.0,Action,7.1,en,Man of Steel,27.667,6.5,2013-06-14,225000000.0,667999518.0,WB,291000000.0,377000000.0
61,Man of Steel,143.0,Adventure,7.1,en,Man of Steel,27.667,6.5,2013-06-14,225000000.0,667999518.0,WB,291000000.0,377000000.0
61,Man of Steel,143.0,Sci-Fi,7.1,en,Man of Steel,27.667,6.5,2013-06-14,225000000.0,667999518.0,WB,291000000.0,377000000.0
62,The Wolfman,103.0,Drama,5.8,en,The Wolfman,14.03,5.7,2010-02-12,150000000.0,142634358.0,Uni.,62000000.0,77800000.0
62,The Wolfman,103.0,Fantasy,5.8,en,The Wolfman,14.03,5.7,2010-02-12,150000000.0,142634358.0,Uni.,62000000.0,77800000.0
62,The Wolfman,103.0,Horror,5.8,en,The Wolfman,14.03,5.7,2010-02-12,150000000.0,142634358.0,Uni.,62000000.0,77800000.0
63,The Boxtrolls,96.0,Adventure,6.8,en,The Boxtrolls,11.219,6.7,2014-09-26,60000000.0,111946251.0,Focus,50800000.0,58400000.0
63,The Boxtrolls,96.0,Animation,6.8,en,The Boxtrolls,11.219,6.7,2014-09-26,60000000.0,111946251.0,Focus,50800000.0,58400000.0
63,The Boxtrolls,96.0,Comedy,6.8,en,The Boxtrolls,11.219,6.7,2014-09-26,60000000.0,111946251.0,Focus,50800000.0,58400000.0
64,The Man Who Knew Infinity,108.0,Biography,7.2,en,The Man Who Knew Infinity,8.76,7.2,2016-04-29,10000000.0,12382122.0,IFC,3900000.0,8400000.0
64,The Man Who Knew Infinity,108.0,Drama,7.2,en,The Man Who Knew Infinity,8.76,7.2,2016-04-29,10000000.0,12382122.0,IFC,3900000.0,8400000.0
65,The Incredible Burt Wonderstone,100.0,Adventure,5.9,en,The Incredible Burt Wonderstone,9.362,5.4,2013-03-15,32000000.0,27392609.0,WB (NL),22500000.0,4900000.0
65,The Incredible Burt Wonderstone,100.0,Comedy,5.9,en,The Incredible Burt Wonderstone,9.362,5.4,2013-03-15,32000000.0,27392609.0,WB (NL),22500000.0,4900000.0
65,The Incredible Burt Wonderstone,100.0,Fantasy,5.9,en,The Incredible Burt Wonderstone,9.362,5.4,2013-03-15,32000000.0,27392609.0,WB (NL),22500000.0,4900000.0
66,Dallas Buyers Club,117.0,Biography,8.0,en,Dallas Buyers Club,12.389,7.9,2013-11-01,5000000.0,60611845.0,Focus,27300000.0,27900000.0
66,Dallas Buyers Club,117.0,Drama,8.0,en,Dallas Buyers Club,12.389,7.9,2013-11-01,5000000.0,60611845.0,Focus,27300000.0,27900000.0
68,Jack Reacher,130.0,Action,7.0,en,Jack Reacher,18.312,6.4,2012-12-21,60000000.0,217370736.0,Par.,80100000.0,138300000.0
68,Jack Reacher,130.0,Crime,7.0,en,Jack Reacher,18.312,6.4,2012-12-21,60000000.0,217370736.0,Par.,80100000.0,138300000.0
68,Jack Reacher,130.0,Thriller,7.0,en,Jack Reacher,18.312,6.4,2012-12-21,60000000.0,217370736.0,Par.,80100000.0,138300000.0
69,R.I.P.D.,96.0,Action,5.6,en,R.I.P.D.,21.377,5.6,2013-07-19,130000000.0,79076678.0,Uni.,33600000.0,44700000.0
69,R.I.P.D.,96.0,Adventure,5.6,en,R.I.P.D.,21.377,5.6,2013-07-19,130000000.0,79076678.0,Uni.,33600000.0,44700000.0
69,R.I.P.D.,96.0,Comedy,5.6,en,R.I.P.D.,21.377,5.6,2013-07-19,130000000.0,79076678.0,Uni.,33600000.0,44700000.0
70,Thor,115.0,Action,7.0,en,Thor,38.06800000000001,6.7,2011-05-06,150000000.0,449326618.0,Par.,181000000.0,268300000.0
70,Thor,115.0,Adventure,7.0,en,Thor,38.06800000000001,6.7,2011-05-06,150000000.0,449326618.0,Par.,181000000.0,268300000.0
70,Thor,115.0,Fantasy,7.0,en,Thor,38.06800000000001,6.7,2011-05-06,150000000.0,449326618.0,Par.,181000000.0,268300000.0
71,Warcraft,123.0,Action,6.9,en,Warcraft,21.464,6.3,2016-06-10,160000000.0,425522281.0,Uni.,47400000.0,386300000.0
71,Warcraft,123.0,Adventure,6.9,en,Warcraft,21.464,6.3,2016-06-10,160000000.0,425522281.0,Uni.,47400000.0,386300000.0
71,Warcraft,123.0,Fantasy,6.9,en,Warcraft,21.464,6.3,2016-06-10,160000000.0,425522281.0,Uni.,47400000.0,386300000.0
72,It's Kind of a Funny Story,101.0,Comedy,7.1,en,It's Kind of a Funny Story,10.01,7.0,2010-10-08,8000000.0,6632950.0,Focus,6400000.0,128000.0
72,It's Kind of a Funny Story,101.0,Drama,7.1,en,It's Kind of a Funny Story,10.01,7.0,2010-10-08,8000000.0,6632950.0,Focus,6400000.0,128000.0
72,It's Kind of a Funny Story,101.0,Romance,7.1,en,It's Kind of a Funny Story,10.01,7.0,2010-10-08,8000000.0,6632950.0,Focus,6400000.0,128000.0
73,The Mule,100.0,Comedy,6.2,en,The Mule,6.1610000000000005,6.4,2018-12-14,50000000.0,170857676.0,WB,103800000.0,68700000.0
73,The Mule,100.0,Drama,6.2,en,The Mule,6.1610000000000005,6.4,2018-12-14,50000000.0,170857676.0,WB,103800000.0,68700000.0
74,The Mule,100.0,Comedy,6.2,en,The Mule,33.83,6.5,2018-12-14,50000000.0,170857676.0,WB,103800000.0,68700000.0
74,The Mule,100.0,Drama,6.2,en,The Mule,33.83,6.5,2018-12-14,50000000.0,170857676.0,WB,103800000.0,68700000.0
75,The Mule,103.0,Comedy,6.3,en,The Mule,6.1610000000000005,6.4,2018-12-14,50000000.0,170857676.0,WB,103800000.0,68700000.0
75,The Mule,103.0,Crime,6.3,en,The Mule,6.1610000000000005,6.4,2018-12-14,50000000.0,170857676.0,WB,103800000.0,68700000.0
75,The Mule,103.0,Drama,6.3,en,The Mule,6.1610000000000005,6.4,2018-12-14,50000000.0,170857676.0,WB,103800000.0,68700000.0
76,The Mule,103.0,Comedy,6.3,en,The Mule,33.83,6.5,2018-12-14,50000000.0,170857676.0,WB,103800000.0,68700000.0
