movie_id,person_id
tt1642191,nm0711512
tt1642194,nm1561227
tt1642194,nm1561267
tt1642194,nm1498956
tt1645174,nm1180721
tt1645844,nm0692204
tt1646123,nm6903135
tt1646123,nm6079583
tt1646123,nm3756134
tt1646123,nm0911075
tt1646123,nm3035341
tt1646123,nm6133203
tt1647690,nm1346663
tt1648207,nm1902987
tt1650044,nm1427994
tt1651100,nm3403467
tt1651118,nm1959127
tt1651143,nm1141070
tt1651143,nm1749125
tt1652390,nm2739675
tt1652390,nm3900608
tt1653668,nm1901883
tt1653848,nm3905802
tt1655400,nm0748022
tt1655400,nm0620460
tt1655400,nm0766262
tt1656170,nm3511906
tt1656170,nm0000463
tt1656634,nm5058881
tt1657425,nm3139360
tt1659190,nm3920442
tt1659190,nm4397686
tt1659190,nm4398345
tt1662671,nm3907981
tt1663628,nm2967774
tt1663628,nm3931175
tt1663636,nm3933309
tt1663636,nm1382571
tt1663636,nm0698283
tt1663636,nm3934472
tt1664959,nm3268802
tt1666188,nm1597604
tt1666621,nm1969846
tt1666759,nm0072329
tt1667100,nm2236676
tt1667100,nm1668171
tt1667150,nm0326092
tt1667150,nm0951135
tt1667150,nm0236884
tt1667150,nm0155201
tt1667150,nm3914804
tt1667153,nm0878299
tt1795368,nm4221881
tt1795368,nm0427582
tt1795371,nm0000636
tt1796603,nm2909729
tt1796603,nm3305858
tt1796603,nm2152569
tt1796611,nm1862588
tt1796611,nm2255968
tt1797348,nm0134559
tt1797348,nm1375024
tt1797348,nm7011823
tt1797348,nm1375777
tt1797348,nm0575523
tt1797348,nm1377207
tt1797348,nm0637615
tt1797348,nm0655898
tt1797348,nm0837839
tt1797348,nm0871086
tt1798674,nm2274239
tt1799537,nm3543330
tt1800241,nm2545235
tt1800241,nm0751102
tt1800684,nm0797736
tt1800684,nm4319594
tt1801123,nm2634491
tt1801123,nm2637294
tt1805306,nm4240690
tt1805306,nm2590830
tt1806777,nm1321797
tt1807057,nm4249897
tt1807057,nm0455335
tt1807064,nm4246512
tt1807064,nm2245120
tt1807064,nm3348075
tt1808567,nm7091973
tt1808568,nm4249148
tt1808568,nm2739695
tt1808588,nm0397162
tt1808617,nm0805751
tt1809274,nm4246539
tt1809274,nm0812228
tt1809282,nm3907878
tt1810722,nm0948859
tt1810858,nm2433588
tt1814665,nm4259348
tt1814701,nm4260336
tt1814769,nm0891580
tt1814877,nm4260265
tt1815706,nm0381414
tt1815724,nm4194177
tt1815767,nm2327927
tt1815767,nm3658133
tt1815829,nm3221098
tt1815829,nm3618810
tt1816498,nm4263385
tt1817232,nm0693933
tt1817232,nm0550578
tt1817771,nm3349927
tt1818443,nm0409327
tt1818443,nm0361735
tt1819550,nm2565292
tt1820473,nm2128163
tt1820473,nm1797856
tt1821480,nm1223910
tt1821480,nm4298729
tt1821480,nm1330994
tt1821480,nm1937760
tt1821480,nm1399188
tt1821480,nm4449370
tt1821494,nm4272829
tt1821494,nm4274119
tt1821588,nm1948076
tt1821701,nm3721777
tt1821701,nm3140890
tt1822204,nm3220732
tt1823188,nm6470809
tt1823743,nm4279314
tt1823743,nm4282722
tt1823743,nm1475801
tt1824904,nm3037539
tt1824904,nm3037278
tt1824904,nm4296727
tt1825837,nm1754507
tt1825837,nm0304590
tt1825837,nm4582380
tt1826707,nm2397199
tt1826835,nm3421400
tt1826876,nm3383582
tt1826876,nm3087245
tt1827534,nm4271478
tt1829003,nm3783639
tt1830511,nm1381689
tt1831635,nm0256384
tt1832533,nm1371074
tt1832533,nm0858399
tt1832533,nm0127243
tt1833069,nm2361786
tt1833069,nm2583438
tt1833824,nm3803553
tt1833824,nm3806666
tt1836160,nm2939473
tt1836753,nm3674454
tt1836907,nm0310032
tt1837508,nm0024887
tt1837508,nm0119187
tt1837521,nm4309865
tt1837521,nm3751421
tt1837521,nm4114470
tt1837664,nm3705304
tt1838436,nm2682776
tt1842422,nm1274188
tt1843865,nm0898138
tt1844647,nm0083966
tt1845244,nm4332186
tt1845244,nm1490111
tt1845244,nm2725941
tt1847741,nm1872619
tt1847750,nm0598531
tt1849824,nm2264123
tt1849824,nm2723224
tt1850987,nm0593784
tt1851974,nm2326785
tt1853606,nm2677929
tt1854518,nm1018206
tt1854568,nm0603588
tt1855268,nm1300956
tt1855268,nm2710488
tt1855268,nm3236488
tt1855401,nm1727367
tt1855401,nm1728099
tt1855401,nm1730037
tt1855401,nm1582493
tt1855401,nm1497393
tt1855416,nm10659578
tt1858776,nm1048547
tt1858813,nm2341709
tt1859604,nm0138326
tt1861318,nm0482192
tt1861318,nm2501292
tt1863242,nm0358406
tt1864361,nm4353686
tt1864455,nm0095442
tt1864455,nm0886165
tt1864557,nm0442455
tt1864557,nm1641338
tt1865384,nm1341601
tt1865477,nm1320458
tt1865503,nm1846132
tt1867623,nm2595350
tt1869616,nm3307743
tt1872217,nm4389944
tt1872799,nm1686849
tt1874513,nm1805278
tt1874513,nm0359971
tt1874513,nm2141317
tt1876226,nm4394765
tt1876330,nm0537545
tt1876387,nm1438338
tt1876387,nm1315309
tt1877797,nm0164929
tt1877797,nm0265463
