movie_id,primary_title,start_year,runtime_minutes,genres,averagerating,numvotes
tt5862902,yardie,2018,101,"crime,drama",5.7,1726
tt5866930,the adventurers,2017,140,"action,adventure,crime",5.6,2210
tt5867800,aruvi,2016,130,drama,8.8,8277
tt5869350,morran & tobias - som en skänk från ovan,2016,99,comedy,5.6,1079
tt5870084,beyond brotherhood,2017,110,drama,8.8,1180
tt5871080,the whiskey bandit,2017,126,"action,adventure,biography",7.6,6201
tt5873150,strong island,2017,107,documentary,6.4,2872
tt5881528,damsel,2018,113,"comedy,drama,western",5.6,2253
tt5882398,warkop dki reborn: jangkrik boss part 1,2016,95,comedy,6.6,964
tt5882970,tubelight,2017,136,"drama,war",4.1,12473
tt5882982,memoirs of a murderer,2017,118,"drama,mystery,thriller",6.9,1299
tt5883570,bodied,2017,120,"comedy,drama,music",7.2,3377
tt5884052,pokémon detective pikachu,2019,104,"action,adventure,comedy",6.9,51444
tt5884230,brad's status,2017,102,"comedy,drama,music",6.5,13259
tt5884234,first kill,2017,97,"action,thriller",4.9,7835
tt5884784,the super,2017,90,"horror,mystery,thriller",6.0,9880
tt5885106,i am vengeance,2018,92,action,4.3,896
tt5886046,escape room,2019,99,"action,adventure,horror",6.4,43308
tt5886440,marrowbone,2017,110,"drama,horror,thriller",6.6,16579
tt5889204,pokémon the movie: volcanion and the mechanical marvel,2016,90,"action,adventure,animation",6.1,692
tt5889462,guppy,2016,158,"comedy,drama,family",8.1,1435
tt5890000,survival family,2016,117,"adventure,comedy,family",7.2,1212
tt5892746,ezra,2017,147,"horror,mystery,thriller",6.7,2031
tt5893264,based on a true story,2017,100,"drama,mystery,thriller",5.7,3736
tt5893332,sandy wexler,2017,130,"biography,comedy",5.1,11927
tt5895028,13th,2016,100,"crime,documentary,history",8.2,19507
tt5896962,line walker,2016,109,"action,crime,mystery",6.1,896
tt5897288,i can quit whenever i want: masterclass,2017,118,"action,comedy,crime",6.9,2522
tt5897292,i can quit whenever i want: ad honorem,2017,98,"action,comedy",6.9,1559
tt5897636,summer 1993,2017,97,"drama,family",7.2,4681
tt5901212,safari,2016,91,documentary,7.1,804
tt5902484,kaatru veliyidai,2017,146,romance,6.0,1448
tt5903088,dead on arrival,2017,97,"crime,mystery,thriller",6.0,1902
tt5906392,the mainour and the witness,2017,135,"crime,drama,thriller",8.1,2785
tt5907748,der mann aus dem eis,2017,96,drama,6.3,887
tt5910280,tunnel,2016,126,"action,drama",6.9,5516
tt5910350,çalgi çengi ikimiz,2017,116,comedy,5.7,3452
tt5914996,"no game, no life: the movie - zero",2017,110,"adventure,animation,comedy",7.6,1534
tt5918028,asura: the city of madness,2016,136,"action,crime",6.6,1787
tt5918074,a death in the gunj,2016,110,"drama,thriller",7.5,2946
tt5918090,i am not madame bovary,2016,128,"comedy,drama",6.9,1755
tt5923026,marlina the murderer in four acts,2017,93,"drama,thriller",7.0,1724
tt5923962,gantz: o,2016,95,"action,animation,drama",7.2,8980
tt5925772,cia: comrade in america,2017,134,"action,adventure,drama",6.6,1956
tt5927352,red istanbul,2017,110,drama,5.5,3493
tt5927420,more,2017,115,"crime,drama",7.1,1510
