movie_id,person_id,primary_name,birth_year,primary_profession
tt1649004,nm0830929,Brian Stockton,1964,"director,writer,cinematographer"
tt2140169,nm0830929,Brian Stockton,1964,"director,writer,cinematographer"
tt6987404,nm0830929,Brian Stockton,1964,"director,writer,cinematographer"
tt3369624,nm0483053,Gregory Lamberson,1964,"producer,director,writer"
tt1401631,nm0483053,Gregory Lamberson,1964,"producer,director,writer"
tt2547290,nm0483053,Gregory Lamberson,1964,"producer,director,writer"
tt5936582,nm0483053,Gregory Lamberson,1964,"producer,director,writer"
tt3532544,nm0483053,Gregory Lamberson,1964,"producer,director,writer"
tt3386202,nm3247632,Bryan Cook,1984,"cinematographer,camera_department,writer"
tt3389236,nm0126996,Florian Mischa Böder,1974,"writer,director,sound_department"
tt3400286,nm1030190,Sören Hüper,1973,"writer,producer,director"
tt3429398,nm6011478,Lemohang Jeremiah Mosese,1980,"cinematographer,director,writer"
tt10265444,nm6011478,Lemohang Jeremiah Mosese,1980,"cinematographer,director,writer"
tt3437394,nm2379823,Philip De Lorenzo,1979,"actor,composer,producer"
tt3445270,nm1331494,Chapman Way,1986,"producer,director,actor"
tt3449740,nm0272310,Gábor Ferenczi,1950,"actor,producer,miscellaneous"
tt4607708,nm0272310,Gábor Ferenczi,1950,"actor,producer,miscellaneous"
tt3451254,nm0136673,Margarida Cardoso,1963,"miscellaneous,director,writer"
tt4797344,nm0136673,Margarida Cardoso,1963,"miscellaneous,director,writer"
tt10207532,nm0136673,Margarida Cardoso,1963,"miscellaneous,director,writer"
tt4625260,nm0136673,Margarida Cardoso,1963,"miscellaneous,director,writer"
tt3459090,nm0911061,Wayne Wang,1949,"director,producer,writer"
tt4851852,nm0911061,Wayne Wang,1949,"director,producer,writer"
tt1541995,nm0911061,Wayne Wang,1949,"director,producer,writer"
tt3467072,nm5495936,Raul Matute,1972,"writer,composer,music_department"
tt4229976,nm5495936,Raul Matute,1972,"writer,composer,music_department"
tt3480056,nm0766211,Hisayasu Satô,1959,"director,assistant_director,writer"
tt5542208,nm0766211,Hisayasu Satô,1959,"director,assistant_director,writer"
