movie_id,primary_title,original_title,start_year,runtime_minutes,genres
tt0829176,gallowwalkers,gallowwalkers,2012,90,"action,horror,thriller"
tt0831280,waking madison,waking madison,2010,89,drama
tt0831387,godzilla,godzilla,2014,123,"action,adventure,sci-fi"
tt0835418,the babymakers,the babymakers,2012,95,comedy
tt0835775,electric slide,electric slide,2014,95,"action,biography,crime"
tt0835802,krystal,krystal,2017,90,"comedy,drama"
tt0837156,pee-wee's big holiday,pee-wee's big holiday,2016,90,"adventure,comedy,family"
tt0837562,hotel transylvania,hotel transylvania,2012,91,"animation,comedy,family"
tt0837563,pet sematary,pet sematary,2019,101,"horror,mystery,thriller"
tt0839742,bhopal: a prayer for rain,bhopal: a prayer for rain,2014,96,drama
tt0840358,everyday sunshine: the story of fishbone,everyday sunshine: the story of fishbone,2010,107,"documentary,music"
tt0841185,whatever happened to pete blaggit?,whatever happened to pete blaggit?,2012,94,"comedy,sci-fi"
tt0842926,the kids are all right,the kids are all right,2010,106,"comedy,drama,romance"
tt0844866,killer by nature,killer by nature,2010,94,"adventure,crime,drama"
tt0844915,pox,pox,2011,100,"comedy,sci-fi"
tt0846004,gangster exchange,gangster exchange,2010,95,action
tt0847215,neowolf,neowolf,2010,88,"horror,thriller"
tt0847825,the speed of thought,the speed of thought,2011,93,"sci-fi,thriller"
tt0848228,the avengers,the avengers,2012,143,"action,adventure,sci-fi"
tt0848537,epic,epic,2013,102,"adventure,animation,family"
tt0848554,the sighting,travis,2016,98,"horror,sci-fi,thriller"
tt0850247,amsteroid,amsteroid,2018,98,sci-fi
tt0850677,jack & diane,jack & diane,2012,110,"drama,horror,romance"
tt0850678,jackson arms,jackson arms,2015,90,romance
tt0856796,kolorádó kid,kolorádó kid,2010,111,"drama,romance"
tt0857190,the sweeney,the sweeney,2012,112,"action,crime,drama"
tt0858419,bolden,bolden,2019,108,drama
tt0859635,super troopers 2,super troopers 2,2018,99,"comedy,crime,mystery"
tt0860907,evangelion: 3.0 you can (not) redo,evangerion shin gekijôban: kyu,2012,96,"action,animation,drama"
tt0861747,zenitram,zenitram,2010,103,"action,adventure,comedy"
tt0862748,lupin the 3rd,rupan sansei,2014,133,"action,adventure,comedy"
tt0862930,dukun,dukun,2018,108,"horror,thriller"
tt0864835,mr. peabody & sherman,mr. peabody & sherman,2014,92,"adventure,animation,comedy"
tt0865561,6 month rule,6 month rule,2011,100,comedy
tt0865911,catharsis,katharsis,2011,89,mystery
tt0872230,my soul to take,my soul to take,2010,107,"horror,mystery,thriller"
tt0873886,red state,red state,2011,88,"action,crime,horror"
tt0874426,the secret philosophy,the secret philosophy,2010,90,thriller
tt0875702,bury the hatchet,bury the hatchet,2010,120,documentary
tt0878814,jewtopia,jewtopia,2012,90,"comedy,romance"
tt0878835,please give,please give,2010,87,"comedy,drama"
tt0879870,eat pray love,eat pray love,2010,133,"drama,romance"
tt0880569,mama i want to sing,mama i want to sing,2011,100,musical
tt0881320,sanctum,sanctum,2011,108,"adventure,drama,thriller"
tt0882741,air: the musical,air: the musical,2010,100,"comedy,musical,romance"
tt0882977,snitch,snitch,2013,112,"action,drama,thriller"
tt0884214,wreckage,wreckage,2010,87,"horror,thriller"
tt0884726,legends of oz: dorothy's return,legends of oz: dorothy's return,2013,88,"adventure,animation,family"
tt0884732,the wedding ringer,the wedding ringer,2015,101,comedy
tt0887143,hyenas,hyenas,2011,92,horror
tt0887161,repo,repo,2010,97,"comedy,drama"
tt0887751,honor,kavod,2010,118,"crime,drama,thriller"
tt0889573,the switch,the switch,2010,101,"comedy,drama,romance"
tt0892062,hamlet a.d.d.,hamlet a.d.d.,2014,95,"animation,comedy,fantasy"
tt0892077,gun of the black sun,gun of the black sun,2011,90,fantasy
tt0892318,letters to juliet,letters to juliet,2010,105,"adventure,comedy,drama"
tt0892769,how to train your dragon,how to train your dragon,2010,98,"action,adventure,animation"
tt0892791,shrek forever after,shrek forever after,2010,93,"adventure,animation,comedy"
tt0893310,blur,blur,2011,90,"drama,mystery,thriller"
tt0893412,from prada to nada,from prada to nada,2011,107,"comedy,drama,romance"
tt0896872,the whistleblower,the whistleblower,2010,112,"action,biography,crime"
tt0899145,don't fade away,don't fade away,2010,89,drama
tt0900387,suite française,suite française,2014,107,"drama,romance,war"
tt0901504,psych:9,psych:9,2010,98,"horror,mystery,thriller"
tt0903036,westbrick murders,westbrick murders,2010,90,"action,crime,thriller"
tt0903624,the hobbit: an unexpected journey,the hobbit: an unexpected journey,2012,169,"adventure,family,fantasy"
tt0903657,love & mercy,love & mercy,2014,121,"biography,drama,music"
tt0905372,the thing,the thing,2011,103,"horror,mystery,sci-fi"
tt0906778,black butterflies,black butterflies,2011,100,"biography,drama"
tt0907731,eager to die,eager to die,2010,109,"drama,thriller"
tt0910885,a merry friggin' christmas,a merry friggin' christmas,2014,88,comedy
tt0910926,movin' in,movin' in,2010,95,"comedy,romance"
tt0914863,unthinkable,unthinkable,2010,97,"crime,drama,thriller"
tt0915463,jackboots on whitehall,jackboots on whitehall,2010,91,"animation,comedy,sci-fi"
tt0918575,victim,victim,2010,90,"horror,thriller"
tt0918940,the legend of tarzan,the legend of tarzan,2016,110,"action,adventure,drama"
tt0920459,the happy housewife,de gelukkige huisvrouw,2010,100,"comedy,drama,romance"
tt0923653,the dead undead,the dead undead,2010,89,"action,horror,sci-fi"
tt0924266,pizza with bullets,pizza with bullets,2010,99,comedy
tt0926084,harry potter and the deathly hallows: part 1,harry potter and the deathly hallows: part 1,2010,146,"adventure,fantasy,mystery"
tt0926132,road to red,road to red,2016,120,"action,adventure,horror"
tt0926170,white men can't dance,white men can't dance,2012,105,"drama,family"
tt0929618,the penthouse,the penthouse,2010,89,comedy
tt0933876,june 9,june 9,2018,95,"horror,mystery,thriller"
tt0935075,rabbit hole,rabbit hole,2010,91,drama
tt0937225,joe dick,joe dick,2017,96,comedy
tt0937353,the devil's flower,tsvetok dyavola,2010,90,"mystery,romance"
tt0938283,the last airbender,the last airbender,2010,103,"action,adventure,family"
tt0938305,freaky deaky,freaky deaky,2012,90,"comedy,crime,thriller"
tt0938330,silent hill: revelation,silent hill: revelation,2012,95,horror
tt0940656,arthur 3: the war of the two worlds,arthur 3: la guerre des deux mondes,2010,101,"adventure,animation,family"
tt0942906,white knuckles,white knuckles,2010,88,"drama,thriller"
tt0944835,salt,salt,2010,100,"action,mystery,thriller"
tt0945513,source code,source code,2011,93,"action,drama,sci-fi"
tt0947798,black swan,black swan,2010,108,"drama,thriller"
tt0947810,green zone,green zone,2010,115,"action,drama,thriller"
tt0948470,the amazing spider-man,the amazing spider-man,2012,136,"action,adventure,sci-fi"
tt0949872,coffee sex you,coffee sex you,2014,88,drama
tt0954947,the killer inside me,the killer inside me,2010,109,"crime,drama,horror"
tt0959306,reach me,reach me,2014,95,"comedy,crime,drama"
tt0959329,nine dead,nine dead,2010,98,"crime,drama,horror"
tt0960067,heart of now,heart of now,2010,90,drama
tt0961036,avenge,avenge,2014,88,drama
tt0961097,a monster in paris,un monstre à paris,2011,90,"adventure,animation,comedy"
tt0962764,the house of sun,dom solntsa,2010,110,drama
tt0963177,made in romania,made in romania,2010,95,comedy
tt0963966,the sorcerer's apprentice,the sorcerer's apprentice,2010,109,"action,adventure,family"
tt0964517,the fighter,the fighter,2010,116,"biography,drama,sport"
tt0964544,pushin' up daisies,pushin' up daisies,2010,87,comedy
