movie_id,person_id,primary_name,birth_year,primary_profession
tt3325622,nm4978948,Blake Borcich,1994,"editor,producer,director"
tt3327556,nm2190995,Kane George Jason,1985,"producer,editor,cinematographer"
tt3336094,nm0613305,Titus Muntean,1965,"director,writer,assistant_director"
tt3343444,nm1460404,Michael Trabitzsch,1954,"director,producer,writer"
tt2819862,nm1460404,Michael Trabitzsch,1954,"director,producer,writer"
tt3346224,nm1230603,Mora Stephens,1976,"writer,producer,director"
tt3353060,nm0533111,Steve Mackall,1959,"actor,writer,soundtrack"
tt3357662,nm1964707,Rubén Alonso,1976,"director,writer,editor"
tt3360828,nm0209435,Daniel de la Vega,1972,"camera_department,actor,director"
tt9139660,nm0209435,Daniel de la Vega,1972,"camera_department,actor,director"
tt9192492,nm0209435,Daniel de la Vega,1972,"camera_department,actor,director"
tt3374866,nm1037221,Sergio G. Sánchez,1973,"writer,director,producer"
tt2046090,nm1037221,Sergio G. Sánchez,1973,"writer,director,producer"
tt3202202,nm1037221,Sergio G. Sánchez,1973,"writer,director,producer"
tt1649419,nm1037221,Sergio G. Sánchez,1973,"writer,director,producer"
tt5886440,nm1037221,Sergio G. Sánchez,1973,"writer,director,producer"
tt3403352,nm0267454,Felice Farina,1954,"director,writer,actor"
tt9025292,nm0267454,Felice Farina,1954,"director,writer,actor"
tt3403352,nm1148855,Dino Giarrusso,1974,"assistant_director,actor,writer"
tt1408062,nm1148855,Dino Giarrusso,1974,"assistant_director,actor,writer"
tt5914642,nm1148855,Dino Giarrusso,1974,"assistant_director,actor,writer"
tt3404246,nm2264935,Florian Gottschick,1981,"director,writer,assistant_director"
tt4024814,nm2264935,Florian Gottschick,1981,"director,writer,assistant_director"
tt3406442,nm1679561,Sara Bareilles,1979,"soundtrack,actress,composer"
tt3420108,nm0396916,Frank Houtappels,1968,"writer,soundtrack,actor"
tt1700423,nm0396916,Frank Houtappels,1968,"writer,soundtrack,actor"
tt8885172,nm0396916,Frank Houtappels,1968,"writer,soundtrack,actor"
tt2206082,nm0396916,Frank Houtappels,1968,"writer,soundtrack,actor"
tt3420108,nm0596397,Linda de Mol,1964,"actress,writer"
tt3420504,nm2357110,Craig Luck,1988,"miscellaneous,camera_department,writer"
tt3420504,nm0694138,Ivor Powell,1943,"producer,assistant_director,production_manager"
tt3443150,nm1806863,Howard Berry,1983,"editor,producer,visual_effects"
tt3455434,nm5538332,Gábor Murai,1964,"director,writer,actor"
tt3755736,nm5538332,Gábor Murai,1964,"director,writer,actor"
tt3755714,nm5538332,Gábor Murai,1964,"director,writer,actor"
tt7310880,nm5538332,Gábor Murai,1964,"director,writer,actor"
tt3462476,nm2218455,Vickie Winans,1953,"actress,writer,producer"
tt3455110,nm2218455,Vickie Winans,1953,"actress,writer,producer"
tt3477546,nm1694285,Norman Manea,1936,writer
tt3503326,nm0161892,Gianni Ciardo,1949,"actor,composer,soundtrack"
tt3507702,nm1195196,Rauf Kubayev,1956,"writer,director,producer"
tt8116610,nm1195196,Rauf Kubayev,1956,"writer,director,producer"
tt3155604,nm1195196,Rauf Kubayev,1956,"writer,director,producer"
tt3512472,nm0517778,Sunshine Logroño,1951,"actor,writer,director"
tt3522794,nm2129972,Jaume Benedito,1977,"writer,director,producer"
tt3563892,nm2031243,Ace Jordan,1979,"director,editor,producer"
tt3577616,nm0303503,Luís Galvão Teles,1945,"producer,director,writer"
tt3583160,nm0200585,Carl Dante,1950,"composer,music_department,soundtrack"
tt3584954,nm1018900,Marina Seresesky,1969,"miscellaneous,director,writer"
tt8296660,nm1018900,Marina Seresesky,1969,"miscellaneous,director,writer"
tt3588082,nm1672027,Sven J. Matten,1974,"producer,director,writer"
tt1906440,nm1672027,Sven J. Matten,1974,"producer,director,writer"
tt3588104,nm0028981,Jean-Jacques Andrien,1944,"director,writer,producer"
tt3596018,nm1387002,Jeffrey Reyes,1983,"art_department,producer,director"
tt3600468,nm6166762,Johnathan Huslage,1983,"writer,director,editor"
tt3604628,nm4426954,Greg Blakey,1982,"cinematographer,director,writer"
tt3612936,nm0427136,Pierre Jolivet,1952,"writer,director,actor"
tt2180465,nm0427136,Pierre Jolivet,1952,"writer,director,actor"
tt6645154,nm0427136,Pierre Jolivet,1952,"writer,director,actor"
tt9112776,nm0427136,Pierre Jolivet,1952,"writer,director,actor"
tt3612936,nm0584770,Simon Michaël,1950,"writer,actor,producer"
tt3202670,nm0584770,Simon Michaël,1950,"writer,actor,producer"
tt2180465,nm0584770,Simon Michaël,1950,"writer,actor,producer"
tt2122518,nm0584770,Simon Michaël,1950,"writer,actor,producer"
tt4181052,nm0584770,Simon Michaël,1950,"writer,actor,producer"
tt3618276,nm3721273,Joshua Stewart,1978,"editor,producer,sound_department"
tt3625930,nm0233757,Jaco Van Dormael,1957,"director,writer,actor"
tt3019796,nm0233757,Jaco Van Dormael,1957,"director,writer,actor"
tt7232740,nm0233757,Jaco Van Dormael,1957,"director,writer,actor"
tt3792960,nm0233757,Jaco Van Dormael,1957,"director,writer,actor"
tt3630800,nm1951858,Adam Deyoe,1982,"director,producer,writer"
tt1650042,nm1951858,Adam Deyoe,1982,"director,producer,writer"
tt3630800,nm0331621,Eric Gosselin,1982,"producer,miscellaneous,actor"
tt3630800,nm2240720,Jim Martin,1983,"miscellaneous,writer,producer"
tt3636528,nm1167415,Thomas Salvador,1973,"actor,director,writer"
tt3645958,nm0404797,Pieter van Huystee,1956,"producer,writer,director"
tt5337758,nm0404797,Pieter van Huystee,1956,"producer,writer,director"
tt9272368,nm0404797,Pieter van Huystee,1956,"producer,writer,director"
tt3646540,nm0165316,Erik Clausen,1942,"actor,writer,director"
tt6923782,nm0165316,Erik Clausen,1942,"actor,writer,director"
tt1629278,nm0165316,Erik Clausen,1942,"actor,writer,director"
tt3678370,nm1923300,Krassimir Ivanov,1970,"casting_department,director,editor"
tt3681078,nm1379619,Eoin Colfer,1965,"writer,actor,producer"
tt3089630,nm1379619,Eoin Colfer,1965,"writer,actor,producer"
tt3688948,nm2311296,Christopher Papastefanou,1970,"actor,writer"
tt3692142,nm0074864,Sunny Bergman,1973,"actress,director,cinematographer"
tt3696434,nm0137918,Greg Carlson,1972,"producer,director,writer"
tt3742926,nm0291180,Ulrike Franke,1970,"director,writer,producer"
tt3742926,nm0517285,Michael Loeken,1954,"sound_department,director,writer"
tt3755914,nm0129287,Andrés Calamaro,1961,"soundtrack,music_department,composer"
tt3773210,nm0202999,Mark David,1974,"cinematographer,producer,camera_department"
tt5632318,nm0202999,Mark David,1974,"cinematographer,producer,camera_department"
tt3776858,nm2965656,Shaun Paul Costello,1982,"actor,producer,writer"
tt1409805,nm2965656,Shaun Paul Costello,1982,"actor,producer,writer"
tt3776858,nm3145196,Joe Gariffo,1986,"actor,producer,editor"
tt1409805,nm3145196,Joe Gariffo,1986,"actor,producer,editor"
tt3799888,nm6382772,Shane Cole,1986,"producer,director,writer"
tt4300120,nm6382772,Shane Cole,1986,"producer,director,writer"
tt5518202,nm6382772,Shane Cole,1986,"producer,director,writer"
tt4077608,nm6382772,Shane Cole,1986,"producer,director,writer"
tt3810486,nm1632130,Alessandro Parrello,1980,"actor,producer,director"
tt1842394,nm1632130,Alessandro Parrello,1980,"actor,producer,director"
tt3837820,nm0497489,Je-yong Lee,1965,"director,writer,cinematographer"
tt5628012,nm0497489,Je-yong Lee,1965,"director,writer,cinematographer"
tt3843748,nm1037454,David Hickey,1963,"actor,director,writer"
tt2316965,nm1037454,David Hickey,1963,"actor,director,writer"
tt2852664,nm1037454,David Hickey,1963,"actor,director,writer"
tt3853830,nm2304758,Sameer Gardezi,1983,"writer,miscellaneous,producer"
tt3856124,nm1275215,Luisa Cotta Ramosino,1974,"writer,producer,miscellaneous"
tt3865614,nm0290310,Ryan Francis,1977,"actor,producer,director"
tt6502062,nm0290310,Ryan Francis,1977,"actor,producer,director"
tt3892590,nm2424342,Amir Ramses,1979,"director,writer,assistant_director"
tt4370382,nm2424342,Amir Ramses,1979,"director,writer,assistant_director"
tt2507458,nm2424342,Amir Ramses,1979,"director,writer,assistant_director"
tt3922754,nm0493295,Joseph J. Lawson,1962,"visual_effects,director,art_department"
tt3958286,nm1989282,Enrique Buchichio,1973,"director,writer,assistant_director"
tt4010848,nm2743438,Andrew Jenkins,1988,"actor,writer,producer"
tt4010848,nm2331593,Chris Scheuerman,1985,"director,writer,miscellaneous"
tt4044464,nm0167562,H.M. Coakley,1971,"production_manager,producer,writer"
tt2552570,nm0167562,H.M. Coakley,1971,"production_manager,producer,writer"
tt2158531,nm0167562,H.M. Coakley,1971,"production_manager,producer,writer"
tt4051858,nm1801656,Yuan Tian,1985,"actress,soundtrack,director"
tt4062208,nm0350168,Robert Guédiguian,1953,"producer,writer,director"
tt9584814,nm0350168,Robert Guédiguian,1953,"producer,writer,director"
tt1852006,nm0350168,Robert Guédiguian,1953,"producer,writer,director"
tt7219324,nm0350168,Robert Guédiguian,1953,"producer,writer,director"
tt3744684,nm0350168,Robert Guédiguian,1953,"producer,writer,director"
tt4076446,nm0418130,Uwe Janson,1959,"director,writer,producer"
tt2150415,nm0418130,Uwe Janson,1959,"director,writer,producer"
tt4076446,nm0881227,David Ungureit,1964,writer
tt2446786,nm0881227,David Ungureit,1964,writer
tt3954222,nm0881227,David Ungureit,1964,writer
tt4084056,nm0078704,Éric Besnard,1964,"writer,director,producer"
tt1612608,nm0078704,Éric Besnard,1964,"writer,director,producer"
tt4246850,nm0078704,Éric Besnard,1964,"writer,director,producer"
tt7025976,nm0078704,Éric Besnard,1964,"writer,director,producer"
tt1534084,nm0078704,Éric Besnard,1964,"writer,director,producer"
tt2104062,nm0078704,Éric Besnard,1964,"writer,director,producer"
tt2170228,nm0078704,Éric Besnard,1964,"writer,director,producer"
tt1959346,nm0078704,Éric Besnard,1964,"writer,director,producer"
tt4601102,nm0078704,Éric Besnard,1964,"writer,director,producer"
tt4111050,nm6835501,Robin Humboldt,1986,"director,writer,cinematographer"
tt4152042,nm5543390,Renata Kalenská,1974,writer
tt4154664,nm1349818,Anna Boden,1979,"director,writer,editor"
tt0804497,nm1349818,Anna Boden,1979,"director,writer,editor"
tt2349144,nm1349818,Anna Boden,1979,"director,writer,editor"
tt4154664,nm0281396,Ryan Fleck,1976,"director,writer,cinematographer"
tt0804497,nm0281396,Ryan Fleck,1976,"director,writer,cinematographer"
tt2349144,nm0281396,Ryan Fleck,1976,"director,writer,cinematographer"
tt4173336,nm0408646,Fiorella Infascelli,1952,"director,writer,assistant_director"
tt2056681,nm0408646,Fiorella Infascelli,1952,"director,writer,assistant_director"
tt4190724,nm2380492,Dorothea Nölle,1979,"writer,director"
tt9891934,nm2380492,Dorothea Nölle,1979,"writer,director"
tt4201044,nm0835727,Jazmín Stuart,1976,"actress,director,writer"
tt7903634,nm0835727,Jazmín Stuart,1976,"actress,director,writer"
tt1915550,nm0835727,Jazmín Stuart,1976,"actress,director,writer"
tt4213832,nm3536332,Celia Rico Clavellino,1982,"writer,director,actress"
tt6109502,nm3536332,Celia Rico Clavellino,1982,"writer,director,actress"
tt4241384,nm1629903,David Dillehunt,1984,"producer,director,editor"
tt6397186,nm1629903,David Dillehunt,1984,"producer,director,editor"
tt1790800,nm1629903,David Dillehunt,1984,"producer,director,editor"
tt2566708,nm1629903,David Dillehunt,1984,"producer,director,editor"
tt7746762,nm1629903,David Dillehunt,1984,"producer,director,editor"
tt4291900,nm1212968,Aldo Garay,1969,"director,writer,producer"
tt4299828,nm4242883,Mario Pagano,1975,"cinematographer,producer,director"
tt4327172,nm0704044,Adolfo Quinones,1955,"actor,miscellaneous,producer"
tt4370800,nm4094238,Richard Buck,1986,"actor,writer,producer"
