movie_id,movie_name,release_year,runtime_minutes,genres,averagerating,numvotes,release_date,production_budget,domestic_gross,worldwide_gross,writers,person_ids
tt1179933,10 cloverfield lane,2016,103,"drama,horror,mystery",7.2,260383,2016-03-11,5000000,72082999,108286422,Damien Chazelle,nm3227090
tt1181614,wuthering heights,2011,129,"drama,romance",6.1,8549,2012-10-05,8000000,100915,2721534,Andrea Arnold,nm0036349
tt1182350,you will meet a tall dark stranger,2010,98,"comedy,drama,romance",6.3,41608,2010-09-22,15000000,3247816,34247816,Woody Allen,nm0000095
tt1189340,the lincoln lawyer,2011,118,"crime,drama,thriller",7.3,196109,2011-03-18,40000000,58009200,87145086,"Michael Connelly, John Romano","nm0175093, nm0738908"
tt1192628,rango,2011,107,"adventure,animation,comedy",7.2,215761,2011-03-04,135000000,123477607,245724600,"John Logan, Gore Verbinski, Will Finn","nm0517589, nm0893659, nm0278181"
tt1194173,the bourne legacy,2012,135,"action,adventure,thriller",6.7,268678,2012-08-10,125000000,113203870,280355920,"Tony Gilroy, Dan Gilroy","nm0006904, nm0319659"
tt1195478,the five-year engagement,2012,124,"comedy,romance",6.2,88469,2012-04-27,30000000,28700285,61623819,"Jason Segel, Nicholas Stoller","nm0781981, nm0831557"
tt1204342,the muppets,2011,103,"adventure,comedy,family",7.1,82752,2011-11-23,45000000,88625922,160971922,"Jason Segel, Nicholas Stoller","nm0781981, nm0831557"
tt1205537,jack ryan: shadow recruit,2014,105,"action,drama,thriller",6.2,114913,2014-01-17,60000000,50577412,131377412,David Koepp,nm0462895
tt1206543,out of the furnace,2013,116,"crime,drama,thriller",6.8,99037,2013-12-04,22000000,11330849,15434375,Scott Cooper,nm0178376
tt1210166,moneyball,2011,133,"biography,drama,sport",7.6,326657,2011-09-23,50000000,75605492,111300835,"Aaron Sorkin, Steven Zaillian, Michael Lewis","nm0815070, nm0001873, nm1034122"
tt1210819,the lone ranger,2013,150,"action,adventure,western",6.4,208827,2013-07-02,275000000,89302115,260002115,"Ted Elliott, Terry Rossio","nm0254645, nm0744429"
tt1211837,doctor strange,2016,115,"action,adventure,fantasy",7.5,514510,2016-11-04,165000000,232641920,676404566,"Scott Derrickson, C. Robert Cargill","nm0220600, nm1803036"
tt1211890,middle of nowhere,2012,97,drama,6.4,1406,2012-10-12,200000,236806,236806,Ava DuVernay,nm1148550
tt1211956,escape plan,2013,115,"action,crime,mystery",6.7,211587,2013-10-18,70000000,25135965,103735965,Jason Keller,nm0445669
tt1212419,hereafter,2010,129,"drama,fantasy,romance",6.5,87288,2010-10-15,50000000,32746941,108660270,Peter Morgan,nm0604948
tt1212428,the lost city of z,2016,141,"adventure,biography,drama",6.6,66475,2017-04-14,30000000,8574339,17121823,James Gray,nm0336695
tt1213663,the world's end,2013,109,"action,comedy,sci-fi",7.0,235308,2013-08-23,20000000,26004851,47508505,"Simon Pegg, Edgar Wright","nm0670408, nm0942367"
tt1216475,cars 2,2011,106,"adventure,animation,comedy",6.2,138914,2011-06-24,200000000,191450875,560155383,"John Lasseter, John Lasseter","nm0005124, nm0005124"
tt1216492,leap year,2010,100,"comedy,romance",6.5,86125,2010-01-08,19000000,25918920,32618920,Harry Elfont,nm0253323
